no,time_utc,latitude_deg,longitude_deg,depth_km,erh_km,erz_km,rms_s,Mw
1,2011-11-11T19:19:00Z,35.536,-96.759,6.58,0.1,0.2,0.04,3.2
2,2011-11-12T01:18:00Z,35.546,-96.737,6.00,0.1,0.2,0.05,3.1
3,2011-11-12T01:41:00Z,35.534,-96.762,7.15,0.1,0.2,0.04,3.2
4,2011-11-13T09:49:00Z,35.457,-96.893,5.40,0.1,0.2,0.05,3.2
5,2011-11-14T05:31:00Z,35.513,-96.800,6.97,0.1,0.2,0.04,3.2
6,2011-11-16T17:10:00Z,35.493,-96.810,5.45,0.1,0.2,0.05,3.2
7,2011-11-18T07:41:00Z,35.535,-96.765,9.82,0.1,0.1,0.03,3.3
8,2011-11-21T21:46:00Z,35.500,-96.816,6.81,0.1,0.2,0.05,3.2
9,2011-11-24T21:11:00Z,35.534,-96.772,9.45,0.1,0.1,0.04,3.4
10,2011-11-25T20:09:00Z,35.452,-96.897,4.63,0.1,0.2,0.05,3.4
11,2011-11-25T21:24:00Z,35.506,-96.751,7.19,0.1,0.2,0.04,3.4
12,2011-12-03T04:42:00Z,35.527,-96.772,10.08,0.1,0.1,0.04,3.3
13,2011-12-09T16:46:00Z,35.464,-96.873,5.47,0.1,0.2,0.04,3.2
