time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-11-05T07:12:45.000Z,35.55,-96.764,3.1,4.8,mwr,322,17.2,,,us,usp000jac0,2022-08-08T19:41:52.429Z,"8 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-05T07:27:19.000Z,35.544,-96.765,3.2,3.3,ml,23,56.9,,,us,usp000jac3,2022-08-08T19:48:14.444Z,"8 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T07:44:34.000Z,35.54,-96.761,5,2.6,ml,11,110.4,,,us,usp000jac5,2017-06-26T21:38:23.186Z,"9 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T07:50:42.000Z,35.554,-96.769,5,2.6,ml,11,117.7,,,us,usp000jac7,2017-06-26T21:38:13.016Z,"7 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T07:55:35.000Z,35.533,-96.757,5,2.6,ml,8,124.6,,,us,usp000jac8,2014-11-07T01:46:17.954Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T09:12:11.000Z,35.528,-96.766,5,3.3,ml,25,69.1,,,us,usp000jacc,2022-08-08T19:49:51.264Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T11:24:15.000Z,35.525,-96.773,5,3.4,ml,23,56.7,,,us,usp000jace,2022-08-08T19:45:11.651Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T13:42:26.000Z,35.53,-96.766,5,3.2,ml,30,62.2,,,us,usp000jach,2022-08-08T19:46:09.626Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-05T14:36:30.380Z,35.518,-96.778,5,3.6,ml,49,58.5,,,us,usp000jack,2022-08-08T19:47:07.305Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T01:03:58.000Z,35.546,-96.749,5,3,ml,8,107.6,,,us,usp000jadg,2014-11-07T01:46:18.170Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T03:53:10.000Z,35.532,-96.765,5.2,5.7,mww,474,17.1,,,us,usp000jadn,2026-05-17T21:29:14.029Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T04:03:42.000Z,35.521,-96.771,5,4,ml,17,69.2,,,us,usp000jadq,2017-03-22T15:43:57.487Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T04:08:13.000Z,35.515,-96.789,5,3,ml,7,80.1,,,us,usp000jadr,2014-11-07T01:46:18.308Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T04:31:50.000Z,35.522,-96.776,5,3.9,ml,46,34.1,,,us,usp000jadu,2014-11-07T01:46:18.316Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T04:53:59.000Z,35.546,-96.749,5,3.3,ml,27,68.9,,,us,usp000jadx,2014-11-07T01:46:18.347Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T06:31:11.000Z,35.479,-96.859,5,3.7,mwr,55,34.1,,,us,usp000jadz,2022-08-08T19:49:25.193Z,"4 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,slm
2011-11-06T07:32:41.000Z,35.48,-96.847,5,3.2,ml,22,55.7,,,us,usp000jae1,2022-08-08T19:50:25.610Z,"5 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T07:38:31.710Z,35.517,-96.834,5,3.6,mblg,14,79.6,,0.73,us,usp000jae3,2014-11-07T01:46:18.405Z,"6 km ENE of Meeker, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-06T08:04:56.270Z,35.585,-96.836,5,3,mblg,9,78.1,,0.92,us,usp000jae4,2014-11-07T01:46:18.408Z,"2 km SSW of Sparks, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-06T08:14:13.000Z,35.525,-96.771,5.6,3.1,ml,8,107.7,,,us,usp000jae8,2017-06-26T21:35:29.355Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T09:22:04.000Z,35.485,-96.844,5,3.5,ml,38,34.5,,,us,usp000jaek,2017-06-26T21:35:18.716Z,"5 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T09:39:57.000Z,35.469,-96.865,5,3.7,mwr,71,33.2,,,us,usp000jaep,2022-08-08T19:51:21.355Z,"5 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T10:52:35.000Z,35.537,-96.779,3.1,3.6,mwr,62,33.9,,,us,usp000jaex,2022-08-08T19:52:18.495Z,"8 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T11:03:52.000Z,35.496,-96.838,5,3.1,ml,53,41.8,,,us,usp000jaey,2022-08-08T19:54:10.752Z,"5 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T11:16:20.770Z,35.522,-96.819,5,2.8,mblg,24,62.1,,1.06,us,usp000jaez,2022-08-08T19:55:05.841Z,"7 km ENE of Meeker, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-06T11:20:22.000Z,35.485,-96.866,5,2.9,ml,23,70.8,,,us,usp000jaf0,2022-08-08T19:53:14.811Z,"3 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T15:07:07.000Z,35.484,-96.856,5,3.8,mwr,60,34.1,,,us,usp000jafa,2022-08-08T19:48:20.402Z,"4 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T16:26:57.000Z,35.517,-96.769,3.1,2.9,md,5,178.1,,,us,usp000jafg,2014-11-07T01:46:18.638Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T17:52:35.000Z,35.494,-96.828,3.1,3.4,mwr,44,34.1,,,us,usp000jafh,2022-08-08T19:57:06.464Z,"6 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-06T18:26:57.000Z,35.473,-96.869,3.1,3.1,md,23,62,,,us,usp000jafk,2022-08-08T19:56:07.185Z,"4 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-06T22:19:34.840Z,35.55,-96.751,5,2.9,mblg,6,117.2,,0.85,us,usp000jafv,2014-11-07T01:46:18.701Z,"9 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-07T00:03:50.000Z,35.504,-96.808,3.2,2.9,md,17,80,,,us,usp000jafx,2022-08-08T20:00:32.289Z,"8 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-07T01:17:13.000Z,35.522,-96.778,4,3,md,34,36.2,,,us,usp000jag3,2022-08-08T19:58:01.695Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-07T01:26:31.000Z,35.518,-96.786,3.1,3.3,mblg,31,36.2,,,us,usp000jag5,2022-08-08T20:02:26.336Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-07T02:38:20.000Z,35.533,-96.75,5,3.1,ml,8,110.6,,,us,usp000jagb,2014-11-07T01:46:18.775Z,"7 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-07T02:46:39.000Z,35.518,-96.8,5,2.5,ml,15,98.5,,,us,usp000jagc,2014-11-07T01:46:18.777Z,"9 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-07T08:12:35.000Z,35.512,-96.786,3.1,3.1,md,20,60.6,,,us,usp000jags,2014-11-07T01:46:18.829Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-07T13:50:20.000Z,35.477,-96.856,3.1,3.1,md,15,74.5,,,us,usp000jah7,2022-08-08T20:03:25.256Z,"5 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-07T17:09:52.000Z,35.506,-96.798,5,3.2,ml,8,98.6,,,us,usp000jahg,2014-11-07T01:46:18.968Z,"9 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
