#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | EventType
2016p856899|2016-11-13T01:15:53|-41.527|175.023|11.3|GNS|GNS|GNS|2016p856899|M|1.9|GNS|30 km south-east of Wellington|unknown
2016p857066|2016-11-13T02:45:00|-41.537|174.236|29.8|GNS|GNS|GNS|2016p857066|M|2.1|GNS|20 km north-east of Seddon|unknown
2016p858000|2016-11-13T11:02:56|-42.693|173.022|15.1|GNS|GNS|GNS|2016p858000|Mw(mB)|7.8|GNS|15 km north-east of Culverden|earthquake
2016p858007|2016-11-13T11:05:14|-41.969|173.701|4.9|GNS|GNS|GNS|2016p858007|M|6.0|GNS|45 km south-west of Seddon|earthquake
2016p858013|2016-11-13T11:06:14|-42.560|173.094|5.0|GNS|GNS|GNS|2016p858013|M|5.6|GNS|20 km east of Hanmer Springs|earthquake
2016p858011|2016-11-13T11:08:14|-42.503|173.111|10.5|GNS|GNS|GNS|2016p858011|M|5.2|GNS|20 km east of Hanmer Springs|earthquake
2016p858012|2016-11-13T11:08:48|-42.575|172.830|3.6|GNS|GNS|GNS|2016p858012|M|5.0|GNS|5 km south of Hanmer Springs|earthquake
2016p858015|2016-11-13T11:09:07|-42.629|172.950|9.8|GNS|GNS|GNS|2016p858015|M|5.3|GNS|15 km south-east of Hanmer Springs|earthquake
2016p858014|2016-11-13T11:09:55|-42.647|172.969|3.9|GNS|GNS|GNS|2016p858014|M|4.7|GNS|15 km north-east of Culverden|earthquake
2016p858021|2016-11-13T11:12:35|-42.428|173.777|5.6|GNS|GNS|GNS|2016p858021|M|6.0|GNS|5 km east of Kaikoura|earthquake
2016p858025|2016-11-13T11:16:07|-42.605|172.955|16.3|GNS|GNS|GNS|2016p858025|M|5.0|GNS|10 km south-east of Hanmer Springs|earthquake
2016p858026|2016-11-13T11:16:53|-41.976|174.069|5.0|GNS|GNS|GNS|2016p858026|M|4.8|GNS|30 km south of Seddon|earthquake
2016p858027|2016-11-13T11:17:18|-42.555|173.050|14.4|GNS|GNS|GNS|2016p858027|M|4.9|GNS|15 km east of Hanmer Springs|earthquake
2016p858030|2016-11-13T11:18:38|-42.012|173.788|5.0|GNS|GNS|GNS|2016p858030|M|5.0|GNS|40 km north of Kaikoura|earthquake
2016p858033|2016-11-13T11:19:10|-41.868|173.948|10.7|GNS|GNS|GNS|2016p858033|M|4.8|GNS|20 km south-west of Seddon|earthquake
2016p858032|2016-11-13T11:19:32|-42.022|173.702|5.0|GNS|GNS|GNS|2016p858032|M|5.3|GNS|40 km north of Kaikoura|earthquake
2016p858034|2016-11-13T11:21:15|-42.610|173.025|9.5|GNS|GNS|GNS|2016p858034|M|5.0|GNS|15 km south-east of Hanmer Springs|earthquake
2016p858035|2016-11-13T11:21:59|-41.797|174.231|10.2|GNS|GNS|GNS|2016p858035|M|4.6|GNS|15 km south-east of Seddon|earthquake
2016p858037|2016-11-13T11:22:31|-42.151|173.466|5.0|GNS|GNS|GNS|2016p858037|M|4.8|GNS|30 km north-west of Kaikoura|earthquake
2016p858036|2016-11-13T11:23:32|-42.167|173.825|4.2|GNS|GNS|GNS|2016p858036|M|4.8|GNS|25 km north-east of Kaikoura|earthquake
2016p858041|2016-11-13T11:24:16|-42.038|173.732|7.3|GNS|GNS|GNS|2016p858041|M|5.5|GNS|40 km north of Kaikoura|earthquake
2016p858048|2016-11-13T11:28:01|-41.789|174.053|9.8|GNS|GNS|GNS|2016p858048|M|4.2|GNS|10 km south of Seddon|earthquake
2016p858049|2016-11-13T11:28:17|-41.866|174.186|5.0|GNS|GNS|GNS|2016p858049|M|4.1|GNS|20 km south-east of Seddon|earthquake
2016p858052|2016-11-13T11:30:24|-42.530|173.356|20.5|GNS|GNS|GNS|2016p858052|M|4.5|GNS|30 km south-west of Kaikoura|earthquake
