%cl# YYYY MM DD HH mm ss.ss    lat(deg)  long.(deg) depth(km) mag eventID
27  2018 04 29 01 24 11.320    19.40776 -155.29421   2.4650  0.64 42905052
28  2018 04 29 01 51 59.740    19.38334 -155.27957   1.5920 -0.26 42906720
21  2018 04 29 03 15 03.550    19.38066 -155.27894   0.9530  0.63 42911703
13  2018 04 29 03 49 55.490    19.39278 -155.24997   0.8220  0.78 42913796
 1  2018 04 29 04 08 11.940    19.37314 -155.28872   2.2690  0.63 42914892
 1  2018 04 29 04 22 00.630    19.38388 -155.24085   2.7770 -0.33 42915720
 1  2018 04 29 04 42 19.400    19.38377 -155.23991   2.7920 -0.53 42916939
 1  2018 04 29 05 28 23.570    19.37828 -155.23193   1.8980  0.61 42919703
13  2018 04 29 05 40 55.200    19.41493 -155.23962   0.8260  0.41 42920456
 1  2018 04 29 06 00 25.770    19.38462 -155.23937   2.7350 -0.28 42921625
23  2018 04 29 06 12 39.410    19.38881 -155.24534   1.4810  0.64 42922360
23  2018 04 29 06 59 33.270    19.39134 -155.24668   1.4190 -0.03 42925173
31  2018 04 29 08 37 32.330    19.37292 -155.29264   2.4350  1.25 42931053
23  2018 04 29 09 33 02.610    19.38332 -155.27863   1.6460  2.04 42934383
28  2018 04 29 09 39 58.230    19.38320 -155.27899   1.5550 -0.30 42934799
23  2018 04 29 09 48 22.140    19.38988 -155.24702   1.2770  0.00 42935302
23  2018 04 29 10 53 33.490    19.38923 -155.24518   1.7500  0.16 42939214
16  2018 04 29 11 44 04.560    19.37620 -155.28153   1.0390  0.44 42942244
 1  2018 04 29 12 35 54.420    19.38410 -155.24097   2.7510 -0.97 42945354
23  2018 04 29 13 39 16.970    19.38900 -155.24455   1.6170 -0.59 42949157
19  2018 04 29 18 18 11.260    19.36817 -155.28467   0.4150  0.13 42965891
 2  2018 04 29 19 08 21.400    19.37657 -155.22975   1.6940  0.66 42968901
23  2018 04 29 19 52 35.320    19.38904 -155.24479   1.5650  0.74 42971556
10  2018 04 29 21 12 19.420    19.40900 -155.27432  -0.0010  0.93 42976339
23  2018 04 29 21 28 56.920    19.37920 -155.23919   0.1640  0.95 42977337
 4  2018 04 29 22 34 48.360    19.41257 -155.30921   4.2710  0.47 42981289
23  2018 04 29 23 09 43.480    19.39020 -155.24735   1.2690  0.70 42983384
 1  2018 04 29 23 39 22.980    19.38288 -155.23971   2.8460  0.19 42985162
23  2018 04 29 23 40 30.100    19.38353 -155.24023   2.7760  2.22 42985231
 1  2018 04 30 00 26 21.280    19.38181 -155.23693   0.4210  0.59 43001581
16  2018 04 30 01 13 45.260    19.39148 -155.24598   1.3690 -0.49 43004425
 1  2018 04 30 06 08 16.350    19.39121 -155.24603   1.3750 -0.36 43022096
28  2018 04 30 06 27 37.260    19.38247 -155.27941   1.4480 -0.51 43023257
 3  2018 04 30 06 32 20.050    19.37212 -155.29111   2.3180  0.91 43023540
23  2018 04 30 06 35 21.260    19.37888 -155.23190   1.9490 -0.12 43023721
10  2018 04 30 06 35 57.690    19.43000 -155.27609   2.1380  1.11 43023758
23  2018 04 30 06 37 14.070    19.39041 -155.24435   1.5440 -0.43 43023834
28  2018 04 30 06 48 08.240    19.39062 -155.24591   1.4240  0.64 43024488
28  2018 04 30 06 56 59.910    19.38218 -155.27946   1.3940  0.89 43025021
16  2018 04 30 07 29 58.480    19.39616 -155.25269   1.2200  1.20 43026998
31  2018 04 30 09 42 51.600    19.41490 -155.25086  11.3670  0.33 43034972
23  2018 04 30 09 52 46.520    19.38643 -155.24030   1.9410  0.16 43035567
28  2018 04 30 10 15 52.760    19.36145 -155.29950   0.4930  0.35 43036953
16  2018 04 30 12 33 03.890    19.36480 -155.28739   1.7450  0.95 43045183
 1  2018 04 30 13 39 16.730    19.38134 -155.27931   0.3570  0.71 43049156
22  2018 04 30 14 03 49.730    19.37415 -155.28081   1.7210  0.56 43050630
32  2018 04 30 14 44 50.650    19.39236 -155.25282   1.4590  0.62 43053091
23  2018 04 30 14 53 45.070    19.39684 -155.25077   1.0370  0.39 43053625
27  2018 04 30 15 22 47.940    19.41340 -155.29969   2.7370  0.76 43055368
23  2018 04 30 15 24 41.910    19.39142 -155.24642   1.3830  0.86 43055482
16  2018 04 30 15 28 01.090    19.38291 -155.27895   1.5350 -0.59 43055682
28  2018 04 30 16 17 43.190    19.37430 -155.28161   1.7270  0.68 43058663
16  2018 04 30 16 41 26.630    19.37834 -155.27921   0.2870  0.37 43060086
23  2018 04 30 16 41 33.040    19.37876 -155.28099   1.4000  1.17 43060093
38  2018 04 30 16 43 20.070    19.37833 -155.28143   1.0690  1.37 43060200
23  2018 04 30 16 56 19.180    19.39228 -155.24692   1.3660  1.97 43060979
23  2018 04 30 18 48 35.640    19.39677 -155.25249   1.2340  0.71 43067716
23  2018 04 30 19 17 44.440    19.38951 -155.24657   1.3040 -0.07 43069465
23  2018 04 30 19 43 01.360    19.39674 -155.25065   1.0740  0.60 43070981
23  2018 04 30 20 15 08.720    19.39680 -155.25078   1.0940  0.26 43072908
23  2018 04 30 20 15 21.200    19.39665 -155.25090   1.0570  1.61 43072921
27  2018 04 30 20 22 09.140    19.38601 -155.24115   2.1140 -0.31 43073329
 9  2018 04 30 20 47 31.320    19.38857 -155.24730   1.3200  0.23 43074852
23  2018 04 30 21 01 49.980    19.39278 -155.24684   1.3640 -0.31 43075710
23  2018 04 30 22 16 32.120    19.39278 -155.24673   1.3740  0.42 43080192
44  2018 04 30 22 29 45.800    19.38535 -155.24136   2.2000  0.37 43080986
11  2018 04 30 22 30 54.640    19.38545 -155.24137   2.1700 -0.19 43081054
 1  2018 04 30 23 09 46.640    19.38293 -155.24051   2.8020 -0.53 43083386
23  2018 04 30 23 13 58.740    19.37868 -155.23278   1.8790  1.10 43083639
 1  2018 04 30 23 14 25.600    19.37856 -155.23224   1.8860  0.59 43083666
13  2018 05 01 00 13 40.440    19.39286 -155.25000   0.8220  1.08 50100821
28  2018 05 01 00 51 58.820    19.39212 -155.25596   1.6780  0.63 50103119
11  2018 05 01 01 10 00.220    19.39435 -155.24648   1.3560  0.64 50104201
28  2018 05 01 01 54 04.320    19.38068 -155.29232   0.4640  1.72 50106844
23  2018 05 01 02 26 13.970    19.39329 -155.24652   1.3720  0.64 50108774
22  2018 05 01 03 15 15.940    19.37891 -155.25314   1.1900  1.59 50111716
22  2018 05 01 03 35 32.330    19.32944 -155.27145   6.2020  1.87 50112932
14  2018 05 01 04 58 04.200    19.39987 -155.26274  13.9080  1.38 50117884
14  2018 05 01 05 22 51.850    19.39995 -155.26296  13.7900  1.45 50119372
17  2018 05 01 06 30 17.590    19.37698 -155.27542   2.0080  1.32 50123417
 5  2018 05 01 06 33 34.820    19.40287 -155.24710   5.8920  1.02 50123614
20  2018 05 01 06 57 38.770    19.41870 -155.19357  14.1680  1.82 50125060
22  2018 05 01 07 10 21.560    19.38012 -155.27974   2.1820  1.19 50125822
17  2018 05 01 08 13 05.630    19.36951 -155.22220   0.8260  0.65 50129586
20  2018 05 01 08 32 17.270    19.38631 -155.28355   1.0970  1.63 50130737
20  2018 05 01 08 44 58.560    19.38605 -155.28325   1.1810  1.52 50131498
20  2018 05 01 09 03 53.720    19.38606 -155.28324   1.1930  1.80 50132633
20  2018 05 01 09 10 12.110    19.38639 -155.28348   1.1170  2.16 50133012
17  2018 05 01 09 13 17.510    19.40363 -155.20672   8.9650  1.22 50133198
20  2018 05 01 09 20 58.540    19.37810 -155.28219   1.8760  1.46 50133658
20  2018 05 01 09 21 23.760    19.38644 -155.28367   1.0320  1.81 50133683
20  2018 05 01 09 26 22.660    19.40351 -155.20702   8.9200  2.08 50133983
28  2018 05 01 09 45 54.580    19.38321 -155.27850   1.6280  0.63 50135155
17  2018 05 01 09 46 54.300    19.40342 -155.20690   8.9620  2.34 50135215
17  2018 05 01 10 00 40.660    19.40366 -155.20680   8.9770  1.98 50136041
20  2018 05 01 11 05 23.820    19.38607 -155.28325   1.1990  2.04 50139924
20  2018 05 01 11 08 00.190    19.38575 -155.28311   1.2530  1.58 50140081
20  2018 05 01 11 08 55.520    19.38492 -155.28276   1.3550  1.71 50140136
20  2018 05 01 11 32 13.930    19.44094 -155.22899   1.1520  1.70 50141534
20  2018 05 01 11 35 55.790    19.44144 -155.22830   1.1380  1.61 50141756
 8  2018 05 01 11 37 52.330    19.39186 -155.28750   1.6710  0.46 50141871
 1  2018 05 01 11 43 23.590    19.44068 -155.22943   1.2140  1.17 50142204
20  2018 05 01 11 44 20.000    19.44068 -155.22946   1.2150  2.18 50142260
31  2018 05 01 11 45 50.220    19.44074 -155.22940   1.2180  1.58 50142351
20  2018 05 01 11 46 36.710    19.44103 -155.22917   1.2290  0.64 50142397
20  2018 05 01 11 47 50.900    19.44064 -155.22936   1.2340  1.40 50142471
20  2018 05 01 11 49 09.420    19.44097 -155.22923   1.2280  1.57 50142550
20  2018 05 01 11 50 33.370    19.44084 -155.22935   1.2370  1.54 50142633
31  2018 05 01 11 51 21.940    19.44090 -155.22946   1.2330  1.75 50142682
20  2018 05 01 11 53 35.270    19.44088 -155.22935   1.2340  1.56 50142816
31  2018 05 01 11 53 58.210    19.44093 -155.22908   1.2450  1.45 50142839
20  2018 05 01 11 55 01.020    19.44090 -155.22935   1.2470  1.62 50142901
20  2018 05 01 11 56 59.470    19.44086 -155.22943   1.2460  2.13 50143020
20  2018 05 01 11 59 09.850    19.44104 -155.22923   1.2470  1.78 50143150
 1  2018 05 01 11 59 42.380    19.44097 -155.22926   1.2500  1.78 50143183
17  2018 05 01 12 00 52.820    19.44094 -155.22933   1.2580  1.73 50143253
31  2018 05 01 12 01 07.540    19.44094 -155.22936   1.2520  0.96 50143269
20  2018 05 01 12 02 14.800    19.40675 -155.25759   1.2420  0.29 50143335
 9  2018 05 01 12 06 54.530    19.44106 -155.22931   1.2490  1.35 50143615
20  2018 05 01 12 07 40.800    19.44109 -155.22930   1.2540  0.69 50143661
23  2018 05 01 12 41 58.230    19.39678 -155.25101   1.1180  0.36 50145718
23  2018 05 01 12 47 10.220    19.39650 -155.25059   1.1110  0.65 50146030
20  2018 05 01 13 04 23.890    19.40910 -155.20775   8.8800  1.33 50147065
