evid,time,latitude,longitude,depth_km,magnitude_gamma,qnpair,qndiffP,qndiffS,rmsP,rmsS
awr_000000,2019-04-04T01:47:41.335000,36.12847,-117.70445,2.326,0.048,1,9,10,0.0,0.01
awr_000001,2019-04-04T05:26:38.217000,36.01221,-117.80654,2.361,-0.252,5,13,18,0.02,0.02
awr_000002,2019-04-04T06:13:54.406000,36.02291,-117.81153,2.286,-0.246,39,154,133,0.01,0.01
awr_000003,2019-04-04T10:18:38.759000,36.06839,-117.69204,2.423,0.143,36,176,106,0.02,0.1
awr_000004,2019-04-04T10:19:45.687000,35.99286,-117.96424,5.957,0.792,10,35,44,0.02,0.01
awr_000005,2019-04-04T12:01:45.177000,36.01291,-117.80633,2.464,-0.408,14,48,47,0.02,0.01
awr_000006,2019-04-04T12:15:48.328000,36.01257,-117.80508,2.613,-0.605,2,8,8,0.01,0.0
awr_000007,2019-04-04T12:57:12.564000,36.06734,-117.69143,2.651,1.062,77,610,603,0.02,0.03
awr_000008,2019-04-04T13:39:04.800000,36.03521,-117.77522,2.751,-0.104,8,21,44,0.01,0.01
awr_000009,2019-04-04T16:08:39.999000,36.07582,-117.68237,2.078,0.035,8,24,37,0.01,0.02
awr_000010,2019-04-04T17:35:22.416000,35.56389,-118.31027,10.729,1.186,2,7,6,0.02,0.01
awr_000011,2019-04-04T17:54:51.931000,36.06759,-117.69111,2.651,1.537,81,679,641,0.01,0.03
awr_000012,2019-04-04T21:58:16.688000,36.09617,-117.86803,4.496,0.4,32,115,122,0.04,0.03
awr_000013,2019-04-04T22:32:53.419000,35.99279,-117.96423,5.879,0.474,3,9,17,0.03,0.01
awr_000014,2019-04-04T23:17:03.945000,35.99272,-117.96397,5.932,0.503,2,9,14,0.01,0.01
awr_000015,2019-04-05T02:13:42.097000,36.01234,-117.80604,2.516,-0.332,21,61,83,0.02,0.01
awr_000016,2019-04-05T06:01:26.455000,36.12847,-117.70445,2.326,0.466,1,9,10,0.0,0.01
awr_000017,2019-04-05T10:11:05.018000,35.86819,-118.48282,12.661,0.928,1,7,7,0.0,0.0
awr_000018,2019-04-05T10:59:08.112000,36.07297,-117.68585,1.969,0.707,54,296,211,0.02,0.04
